citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
266,70,Verified email at di.unimi.it - ,9,4,9,2,2018,2004,Pietro Codara,Artificial Intelligence Research Institute (IIIA-CSIC) Homepage None,"Combinatorics,ordered structures,many-valued logic,categorical dualities,uncertainty",52
268,182,Verified email at data-cowboys.com - ,9,6,8,5,2020,2009,Sergey Feldman,"Allen Institute of Artificial Intelligence, Data Cowboys Homepage None","Machine Learning,Estimation,Pattern Recognition",15
271,270,Verified email at essex.ac.uk,6,6,3,3,2020,2013,Ruihao Li,"Artificial Intelligence Research Center, National Innovation Institute of Defense Technology Robotics None",Robotics,19
272,244,Verified email at amu.edu.pl - ,11,10,14,12,2019,2001,Krzysztof Dyczkowski,"Associate Professor, Phd, D.Sc., Department of Artificial Intelligence,  Adam Mickiewicz University None","fuzzy sets,intelligent systems,soft computing,ovarion tumor diagnosis,cardinality of fuzzy set",40
276,276,Verified email at vsoftconsulting.com - ,11,11,15,15,2018,2013,Dr. Monica  Mundada,Off-Shore Head for Artificial Intelligence and Machine learning Homepage None,Machine Learning and Natural language processing,34
282,125,Verified email at dia.uned.es,10,6,11,3,2018,2001,Alejandro Rodriguez-Ascaso,"Department of Artificial Intelligence,  Universidad Nacional de Educación a Distancia  (UNED)","accessibility,human factors,elearning,telecare,artificial intelligence",64
290,262,Verified email at e.ntu.edu.sg - ,11,10,11,10,2020,2011,Jing LI,"Research Scientist, Inception Institute of Artificial Intelligence (IIAI) Homepage None","Information Retrieval,Natural Language Processing,Software Engineering,Compressed Sensing",34
286,217,Verified email at kw.ukrtel.net,9,7,8,4,2020,2004,"Kernasiuk Yu., Kernasyuk Yu., Kernasiuk Ju. V.,  Кернасюк, Ю. В., ORCID 0000-0001-8957-3769","КГСХОС, КДСГДС, ИСХС, ІСГС НААН, Artificial Intelligence Sustainable Development None","Sustainable Development,Forecast & System Analysis,Low-Carbon Economy & Climate Change",265
292,251,Verified email at cgmh.org.tw,5,4,3,3,2020,2011,Chihung Lin,"Associate Research Fellow, Center for Artificial intelligence in Medicine,  Chang Gung Memorial Hospital None",Artificial intelligence in Medicine,10
292,191,No verified email,8,7,7,5,2020,1957,Rajesh Verma,M.Tech (Artificial Intelligence) Mobile Cloud Computing None,"Mobile Cloud Computing,Artificial Intelligence",86
294,152,Verified email at kntu.ac.ir - ,7,6,6,3,2020,2003,chitra dadkhah,"Assistant Professor of Artificial Intelligence,  K.N.Toosi university of Technology None","Evolutionary  Algorithms,Swarm Intelligence,Natural Language Processing,Recommender Systems,Robotic(simulation)",38
294,236,Verified email at mail.mil,9,8,9,8,2019,2004,Peter Walker,Joint Artificial Intelligence Center Imaging None,"Imaging,Bioinformatics",51
